Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
127;01/03/2006;1;2;3;4;5;7;10;11;12;13;18;19;22;23;25;0;5;;BA;633;26537;226287;1209770;519.339,50;574,65;10;4;2;0;0;0
128;06/03/2006;2;3;4;6;11;13;14;15;16;17;19;20;21;23;25;0;2;;AM;422;18165;257399;1512543;830.452,68;1.686,77;10;4;2;0;0;0
129;13/03/2006;2;5;6;7;9;11;13;15;18;19;20;21;22;23;25;0;3;;CE;907;38023;333579;1684780;448.986,01;634,05;10;4;2;0;0;0
130;20/03/2006;2;3;4;5;6;9;10;12;13;15;17;19;23;24;25;0;3;;MG;952;29720;362203;1689512;417.614,17;561,87;10;4;2;0;0;0
131;27/03/2006;2;4;5;6;7;8;11;12;13;15;19;20;22;23;25;0;1;;MG;660;23967;320580;1600418;1.341.544,37;871,13;10;4;2;0;0;0
132;03/04/2006;1;3;4;5;7;9;10;11;14;15;16;17;22;23;25;0;10;;CE;792;26452;340872;1584197;135.976,17;733,01;10;4;2;0;0;0
133;10/04/2006;1;3;4;5;8;9;11;13;15;18;19;20;21;22;23;0;5;;MS;895;32294;385069;1862691;217.132,17;517,9;10;4;2;0;0;0
134;17/04/2006;1;3;5;7;8;10;11;12;13;14;16;17;19;22;25;0;4;;GO;1345;32243;321650;1628816;325.378,91;413,15;10;4;2;0;0;0
135;24/04/2006;1;2;5;7;8;10;13;14;15;18;19;20;21;22;25;0;7;;ES;775;20815;253415;1441124;234.154,46;906,41;10;4;2;0;0;0
136;02/05/2006;1;2;3;5;6;9;12;13;14;15;17;21;22;23;24;0;2;;SC;329;14555;238514;1255488;671.843,75;1.750,35;10;4;2;0;0;0
137;08/05/2006;2;6;8;9;10;11;12;13;16;17;18;19;20;21;25;0;2;;MG;313;12648;221694;1259615;937.816,37;2.568,19;10;4;2;0;0;0
138;15/05/2006;2;3;4;5;7;8;11;13;15;16;17;21;22;24;25;0;3;;RS;464;18695;250239;1503282;476.718,72;1.320,96;10;4;2;0;0;0
139;22/05/2006;1;2;7;9;12;14;15;16;17;18;19;21;22;23;24;0;1;;RN;443;18564;247145;1370404;1.596.786,85;1.544,78;10;4;2;0;0;0
